model_name,odometer_value,year_produced,engine_fuel
Caravan,1000000,1996,gas
Stratus,1000000,2004,gasoline
Carnival,1000000,2001,diesel
Signum,1000000,2003,gasoline
Explorer,1000000,1998,gasoline
Escape,1000000,2005,gasoline
Focus,1000000,2003,gasoline
Focus,1000000,2000,gasoline
A6,1000000,2006,diesel
S80,1000000,2002,diesel
Vibe,1000000,2002,gas
Pathfinder,1000000,1998,gasoline
X5,1000000,2004,gasoline
525,1000000,1996,diesel
A160,1000000,2000,gasoline
E300,1000000,1985,diesel
C200,1000000,1999,diesel
E220,1000000,1997,diesel
308,1000000,2008,gasoline
Legacy,999999,1991,gasoline
Outlander,999999,2009,gasoline
Explorer,999999,1991,gasoline
Camry,999999,2009,gasoline
S320,999999,2000,diesel
E230,999999,1986,gas
Accent,888888,1995,gasoline
300,777957,2000,gasoline
E250,777777,1987,diesel
E250,771777,1992,diesel
V70,764823,1998,gasoline
Sprinter,750000,2010,diesel
E300,720000,1993,diesel
E200,700000,1991,diesel
S500,700000,2001,gasoline
525,672348,2001,diesel
Vectra,666666,1997,gasoline
A6,665000,1996,gasoline
Vito,661619,1997,gas
Escape,659831,2001,gasoline
A6,650000,1995,diesel
T1,650000,1994,diesel
E230,650000,1993,gasoline
Sprinter,650000,2001,diesel
E200,650000,2005,diesel
E420,641000,1992,gasoline
Transit,639000,2008,diesel
Caravan,623123,1998,gasoline
525,615000,1998,diesel
E270,605000,2002,diesel
Vectra,600000,2004,diesel
Camry,600000,1993,gasoline
Primera,600000,1992,gasoline
S300,600000,1997,diesel
Sprinter,600000,2001,diesel
C220,600000,2000,diesel
S320,600000,1992,gasoline
E230,600000,1995,diesel
Forester,595457,2001,gas
S300,585400,1996,diesel
100,580000,1986,gas
E300,580000,1998,diesel
Vectra,579364,1991,gasoline
E290,578000,1997,diesel
Grand Caravan,575976,1999,gas
Forester,571317,1999,gasoline
735,570000,1992,gasoline
3008,567000,2013,gasoline
Pajero Sport,563270,1999,gasoline
Grand Cherokee,563270,1999,gas
728,560000,1997,gasoline
Voyager,554555,2005,gas
523,550000,1998,gasoline
730,550000,1999,diesel
525,550000,2001,diesel
730,550000,1999,diesel
520,550000,1993,gasoline
E220,550000,2002,diesel
C180,543210,1997,gasoline
525,540000,1996,gasoline
E430,540000,1999,gasoline
E280,540000,1996,gasoline
C320,540000,2002,gasoline
E270,538025,2001,diesel
730,538000,2003,diesel
E200,538000,1994,diesel
Outlander,537521,2005,gasoline
E320,537000,2003,diesel
Venture,536447,1996,gasoline
Grand Caravan,535244,2006,gasoline
RX,531084,2005,gasoline
A6,530000,1995,gasoline
S320,530000,1994,gasoline
S320,530000,2002,diesel
S320,529512,2000,diesel
E270,528000,2004,diesel
E240,524000,1999,gas
Omega,523222,1998,gasoline
Navigator,522000,2001,gasoline
Grand Caravan,521427,2001,gasoline
607,521427,2002,gas
530,520000,1999,diesel
525,520000,1999,diesel
E250,520000,1993,diesel
E220,520000,2002,diesel
E320,520000,1995,gasoline
A8,516000,1996,gasoline
735,516000,1997,gasoline
E220,515600,2001,diesel
S60,515000,2002,diesel
E240,515000,1998,gasoline
Signum,513900,2003,diesel
RX,512000,1999,gasoline
607,511000,2001,diesel
C5,510000,2001,diesel
730,509543,2003,diesel
525,507000,1999,gasoline
Caravan,506943,2002,gas
Cirrus,506943,2000,gasoline
525,501000,2001,diesel
C220,500853,2002,diesel
Outback,500000,2001,gasoline
Carisma,500000,1997,gas
Sharan,500000,2002,diesel
Passat,500000,1997,diesel
Passat,500000,2000,gasoline
Passat,500000,2006,gasoline
Grand Cherokee,500000,2002,diesel
A8,500000,2002,diesel
A8,500000,2002,diesel
A8,500000,1999,gasoline
80,500000,1991,gasoline
S90,500000,1998,gas
S90,500000,1998,gasoline
Almera,500000,1995,gasoline
725,500000,1997,diesel
E230,500000,1992,gasoline
C270,500000,2001,diesel
E200,500000,2000,diesel
E200,500000,2000,diesel
S500,500000,1991,gasoline
S500,500000,1982,diesel
E270,500000,1999,diesel
Sprinter,500000,2007,diesel
Vito,500000,2006,diesel
E220,500000,2002,diesel
S300,500000,1995,diesel
807,500000,2003,diesel
A6,499000,1996,diesel
Camry,498897,1997,gasoline
730,497858,2003,diesel
A6,497000,1995,diesel
E220,496000,1996,diesel
C200,496000,2001,diesel
Voyager,496000,1998,gasoline
730,495000,1999,diesel
605,494000,1998,diesel
850,493000,1994,gasoline
A6,490000,1997,gasoline
Maxima,490000,2000,gasoline
530,490000,2005,diesel
530,490000,2001,diesel
X5,490000,2001,gas
ML320,490000,2006,diesel
E220,490000,1996,diesel
V220,490000,2003,diesel
Signum,488347,2003,diesel
Sonata,486000,1999,gasoline
Viano,485350,2004,diesel
Shuma,485000,1998,gasoline
A6,485000,1998,diesel
S60,485000,2002,diesel
Galant,482803,2000,gasoline
Legend,482803,1999,gasoline
Escalade,482453,2012,gasoline
