model_name,odometer_value,year_produced,engine_fuel
Shuma,1000000,1998,gasoline
Besta,1000000,1996,diesel
Sportage,1000000,1995,gasoline
Clarus,1000000,1996,gasoline
Sephia,1000000,1994,gasoline
Frontera,1000000,1994,gasoline
Astra,1000000,2003,diesel
Kadett,1000000,1987,gasoline
Omega,1000000,1999,diesel
Vectra,1000000,2000,diesel
Sintra,1000000,1997,gasoline
Astra,1000000,1994,gasoline
Vectra,1000000,1994,gasoline
146,1000000,1999,gasoline
145,1000000,1997,gasoline
Galant,1000000,1995,gasoline
Colt,1000000,1992,gasoline
Colt,1000000,1995,gasoline
Colt,1000000,1992,gasoline
Galant,1000000,1992,gasoline
Carisma,1000000,1996,gasoline
Xantia,1000000,1997,diesel
Jumper,1000000,2012,diesel
Xantia,1000000,2000,diesel
Saxo,1000000,2002,gasoline
One,1000000,2007,gasoline
Nexia,1000000,1996,gasoline
21011,1000000,1975,gasoline
2106,1000000,1988,gasoline
2121,1000000,1989,gasoline
2107,1000000,1988,gasoline
2121,1000000,1983,gasoline
2104,1000000,2008,gasoline
2108,1000000,1992,gasoline
2104,1000000,1986,gasoline
2108,1000000,1991,gasoline
2101,1000000,1976,gasoline
2107,1000000,1989,gasoline
2121,1000000,1987,gasoline
Punto,1000000,1999,gasoline
Croma,1000000,1987,gasoline
Bravo,1000000,1998,gasoline
Punto,1000000,1999,gasoline
Mondeo,1000000,2007,gasoline
Sierra,1000000,1988,gasoline
Escort,1000000,1991,gasoline
Sierra,1000000,1990,diesel
Scorpio,1000000,1988,gasoline
Fiesta,1000000,1993,gasoline
Escort,1000000,1995,gasoline
Mondeo,1000000,1997,diesel
Mondeo,1000000,1998,gasoline
Sierra,1000000,1989,diesel
Galaxy,1000000,2003,diesel
Sierra,1000000,1987,gasoline
Fiesta,1000000,1991,gasoline
Focus,1000000,2000,diesel
Mondeo,1000000,1995,gasoline
Mondeo,1000000,1994,gasoline
Courier,1000000,1997,diesel
Escort,1000000,1999,diesel
Transit,1000000,1994,diesel
Sierra,1000000,1986,gasoline
Mondeo,1000000,1994,gasoline
Megane,1000000,1996,gasoline
Megane,1000000,1995,gasoline
Rapid,1000000,1994,gasoline
Laguna,1000000,1995,diesel
21,1000000,1992,diesel
19,1000000,1994,gasoline
Megane,1000000,1998,gasoline
Express,1000000,1998,diesel
19,1000000,1995,gasoline
Laguna,1000000,2002,gasoline
Laguna,1000000,1996,gasoline
Laguna,1000000,1994,gasoline
Laguna,1000000,2000,gasoline
Laguna,1000000,1994,gasoline
Laguna,1000000,1998,diesel
Toledo,1000000,1995,gasoline
600-Series,1000000,1994,gasoline
Caddy,1000000,2009,diesel
Jetta,1000000,1987,diesel
Passat,1000000,1988,diesel
Santana,1000000,1983,gas
Golf,1000000,1976,gasoline
T3,1000000,1988,diesel
Passat,1000000,1995,diesel
LT,1000000,1994,diesel
Passat,1000000,1991,gasoline
Golf,1000000,1990,gasoline
Passat,1000000,1987,diesel
T3,1000000,1990,diesel
T4 Caravelle,1000000,1999,gasoline
Passat,1000000,1992,gasoline
80,1000000,1986,diesel
80,1000000,1987,gasoline
80,1000000,1987,gas
100,1000000,1984,gas
100,1000000,1984,gasoline
100,1000000,1984,gas
80,1000000,1983,gasoline
100,1000000,1984,hybrid-petrol
100,1000000,1985,gasoline
80,1000000,1990,diesel
Carina II,1000000,1990,diesel
