model_name,count
Passat,1423
Astra,751
Golf,707
A6,687
Mondeo,637
Vectra,565
Laguna,548
A4,505
406,415
Omega,387
Focus,380
Megane,377
100,371
Octavia,367
Zafira,356
Xantia,355
525,354
Primera,346
Scenic,323
626,321
C5,316
80,304
Transit,301
X5,297
Civic,289
520,288
6,269
Rapid,242
Jetta,237
Accord,237
320,234
323,233
Santa Fe,226
Sprinter,225
T4,203
Touran,200
Escort,193
Almera,191
318,189
307,184
Galaxy,183
308,177
Sportage,173
Sharan,169
E200,165
Corolla,164
Rio,162
Avensis,159
Qashqai,159
Sorento,155
A8,155
3,152
Corsa,146
Lancer,145
RAV4,144
Xsara,142
Fusion,142
Polo,142
206,140
Megane Scenic,139
530,139
Daily,139
Camry,138
Polo Sedan,134
Cruze,134
Superb,134
C4,133
Fiesta,130
Accent,126
Kodiaq,126
Galant,124
S80,122
Insignia,121
Fabia,121
E220,121
Cee'd,120
Logan,120
XC90,119
Vito,119
Touareg,118
Yaris,118
Sonata,116
Punto,113
C180,113
407,112
Solaris,111
730,108
316,105
Marea,104
Espace,104
Outlander,103
S60,103
Grand Scenic,102
605,102
Tiguan,101
Clio,100
19,100
Voyager,100
Carisma,99
LT,99
Safrane,98
Sandero,96
Land Cruiser,95
156,93
A3,92
CR-V,92
Duster,91
X-Trail,90
2106,89
S40,89
Sierra,88
Toledo,87
Meriva,85
RX,85
X6,85
Xsara Picasso,83
Escape,83
607,83
T1,81
Forester,80
Caravan,80
Brava,80
FX,80
3008,80
Q7,79
X3,79
C220,77
C200,76
740,75
306,75
C4 Grand Picasso,74
Ducato,74
207,74
Colt,73
ML350,73
CX-7,71
405,71
Stratus,70
Pajero,70
Grand Cherokee,70
400-Series,69
Ulysse,68
Caddy,68
Q5,68
Grand Vitara,68
Outback,67
Bravo,67
C-Max,67
523,66
Evasion,65
Scorpio,65
Alhambra,65
T5,65
Legacy,64
Berlingo,64
190,64
Prius,63
Juke,63
S500,63
Vesta,62
T5 Multivan,62
Vento,62
T4 Caravelle,61
Lantra,61
Passat CC,60
Boxer,59
Tucson,58
Elantra,58
Space Star,57
C3,57
Ibiza,57
T5 Caravelle,57
806,57
Matiz,56
600-Series,53
Cayenne,52
325,52
MPV,52
Jumper,51
200-Series,51
Nubira,50
2107,50
S320,50
Clarus,49
2109,49
21,49
A5,49
XC60,49
ML320,49
A6 Allroad,48
Grand Caravan,47
Doblo,47
S-Max,47
Freelander,47
E230,47
Neon,46
Frontera,46
C4 Picasso,46
Lanos,46
Auris,46
528,46
9 - 3,46
Partner,46
Carina E,45
Pacifica,45
Town&Country,45
Cordoba,44
X1,44
Space Wagon,43
Kangoo,43
Crafter,43
Corolla Verso,43
Aveo,43
i30,43
300,43
Impreza,42
Signum,42
Captiva,42
Sunny,42
735,42
E250,42
Grand Voyager,42
T4 Multivan,41
Range Rover,41
Felicia,41
Encore,40
Almera Tino,40
Murano,40
Baleno,39
Carnival,38
ASX,38
V40,38
ix35,38
Range Rover Sport,38
Sintra,36
Trafic,36
Matrix,36
745,36
9 - 5,36
2105,35
Coupe,35
Master,35
750,35
Sebring,35
Carens,34
Stilo,34
Micra,34
807,34
Sephia,33
408,33
2108,33
T3,33
Patrol,33
Pathfinder,33
Caliber,32
Kadett,32
Golf Plus,32
Bora,32
Premacy,32
Yeti,32
5008,32
Vivaro,31
Explorer,31
T2,31
460,31
Malibu,31
Xedos 6,31
Palio,30
Maxima,30
CX-5,30
E320,30
Antara,29
166,29
GS,29
2121,29
2101,29
Tempra,29
Scudo,29
Kuga,29
Verso,29
Discovery,29
